"x","y","z","vsx_rx","optix","domain","density","knnd","sample"
24533.599609375,31615.099609375,-129.414993286133,1473,1707,"Rx",1.77501274721887e-06,5.55708973496806,"Larval brain 1"
24547.599609375,31626.900390625,-126.313003540039,654.5,2145,"Optix",2.34895367569845e-06,4.46839376800909,"Larval brain 1"
24548,31630,-124.722999572754,691,2055,"Optix",1.94864496315914e-06,5.01732521380042,"Larval brain 1"
24556.400390625,31636.400390625,-120.968002319336,654.5,1797,"Optix",8.50125325405294e-07,6.14056158281432,"Larval brain 1"
24542.400390625,31626.30078125,-129.218002319336,731,1995,"Optix",2.15457011599208e-06,5.54788276223694,"Larval brain 1"
24566.30078125,31645.30078125,-121.268997192383,817,1309,"Rx",8.14081461241225e-07,9.03699304942723,"Larval brain 1"
24551.69921875,31632.80078125,-121.339996337891,773,1873,"Optix",9.5216194991398e-07,5.57922377144173,"Larval brain 1"
24539.599609375,31621.30078125,-124.551002502441,857.5,1869,"Optix",1.61496882789637e-06,4.5721996561009,"Larval brain 1"
24524.69921875,31609.30078125,-132.404006958008,2131,1305,"Rx",1.44480341457752e-06,9.2535664654422,"Larval brain 1"
24544.5,31626.400390625,-122.412002563477,772.5,1813,"Optix",1.18519870097769e-06,5.80746981484535,"Larval brain 1"
24535.400390625,31619.599609375,-127.218002319336,1151,1635,"Optix",1.70742792229309e-06,5.56492600460512,"Larval brain 1"
24540.30078125,31622.900390625,-126.300003051758,822,2055,"Optix",1.98442168076314e-06,4.10606687175591,"Larval brain 1"
24552,31638,-123.870002746582,985,1502,"Rx",1.61003470903406e-06,6.17364707620171,"Larval brain 1"
24537.5,31626.099609375,-124.783996582031,731,1801,"Optix",1.52001171319519e-06,5.1016849400519,"Larval brain 1"
24543.900390625,31633.5,-124.740997314453,853.5,1513,"Rx",1.65234869848987e-06,6.32909170665586,"Larval brain 1"
24547.599609375,31635.30078125,-120.77799987793,975,1527,"Rx",7.07934543385792e-07,6.35945380842303,"Larval brain 1"
24539.400390625,31630.69921875,-124.291999816895,772.5,1557,"Rx",1.42946557658144e-06,6.45046513620086,"Larval brain 1"
24534.099609375,31625.400390625,-122.324996948242,934.5,1365,"Rx",8.26710175756542e-07,6.93860545648938,"Larval brain 1"
24552.19921875,31643.69921875,-112.582000732422,893.5,1101,"Rx",6.06657453079494e-08,13.316490344848,"Larval brain 1"
24567,31639.900390625,-131.833999633789,943.5,1467,"Rx",2.12129260671955e-06,6.47638032408243,"Larval brain 1"
